Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
ALB,Albania,CZE,Czech Republic,2022,18.281,2.18,Tirana,41.3272 ,19.8186 ,ALB,primary,Prague,50.0875 ,14.4214 ,CZE,primary
ALB,Albania,FRA,France,2022,0.007371,0.001,Tirana,41.3272 ,19.8186 ,ALB,primary,Paris,48.8567 ,2.3522 ,FRA,primary
ALB,Albania,DEU,Germany,2022,38.36888,5.779,Tirana,41.3272 ,19.8186 ,ALB,primary,Berlin,52.5200 ,13.4050 ,DEU,primary
ALB,Albania,GRC,Greece,2022,4.671324,0.535,Tirana,41.3272 ,19.8186 ,ALB,primary,Athens,37.9842 ,23.7281 ,GRC,primary
ALB,Albania,HUN,Hungary,2022,4.937,0.75,Tirana,41.3272 ,19.8186 ,ALB,primary,Budapest,47.4983 ,19.0408 ,HUN,primary
ALB,Albania,ISL,Iceland,2022,0.534011,0.051,Tirana,41.3272 ,19.8186 ,ALB,primary,Reykjavík,64.1458 ,-21.9425 ,ISL,primary
ALB,Albania,ITA,Italy,2022,17.617504,3.198,Tirana,41.3272 ,19.8186 ,ALB,primary,Rome,41.8931 ,12.4828 ,ITA,primary
ALB,Albania,KWT,Kuwait,2022,0.179544,0.018177,Tirana,41.3272 ,19.8186 ,ALB,primary,Kuwait City,29.3697 ,47.9783 ,KWT,primary
ALB,Albania,MNE,Montenegro,2022,74.41094,8.92946,Tirana,41.3272 ,19.8186 ,ALB,primary,Podgorica,42.4414 ,19.2628 ,MNE,primary
ALB,Albania,NOR,Norway,2022,0.575724,0.07,Tirana,41.3272 ,19.8186 ,ALB,primary,Oslo,59.9133 ,10.7389 ,NOR,primary
ALB,Albania,SRB,Serbia,2022,374.126,18.062,Tirana,41.3272 ,19.8186 ,ALB,primary,Belgrade,44.8178 ,20.4569 ,SRB,primary
ALB,Albania,SVN,Slovenia,2022,41.900467,4.536,Tirana,41.3272 ,19.8186 ,ALB,primary,Ljubljana,46.0514 ,14.5061 ,SVN,primary
ALB,Albania,SWE,Sweden,2022,2.274019,0.263108,Tirana,41.3272 ,19.8186 ,ALB,primary,Stockholm,59.3275 ,18.0547 ,SWE,primary
ALB,Albania,MKD,North Macedonia,2022,368.73657,38.895,Tirana,41.3272 ,19.8186 ,ALB,primary,Skopje,41.9961 ,21.4317 ,MKD,primary
ALB,Albania,EGY,Egypt,2022,10.218318,1.05723,Tirana,41.3272 ,19.8186 ,ALB,primary,Cairo,30.0444 ,31.2358 ,EGY,primary
ALB,Albania,USA,United States,2022,82.918,16.241,Tirana,41.3272 ,19.8186 ,ALB,primary,Washington,38.9047 ,-77.0163 ,USA,primary
DZA,Algeria,CAN,Canada,2018,94.448456,14.587,Algiers,36.7325 ,3.0872 ,DZA,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
DZA,Algeria,ARE,United Arab Emirates,2018,0.003268,0.003,Algiers,36.7325 ,3.0872 ,DZA,primary,Abu Dhabi,24.4667 ,54.3667 ,ARE,primary
DZA,Algeria,TUN,Tunisia,2018,19.146358,1.526,Algiers,36.7325 ,3.0872 ,DZA,primary,Tunis,36.8064 ,10.1817 ,TUN,primary
DZA,Algeria,CAN,Canada,2019,0.29845,0.1,Algiers,36.7325 ,3.0872 ,DZA,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
DZA,Algeria,FRA,France,2019,0.045905,0.003836,Algiers,36.7325 ,3.0872 ,DZA,primary,Paris,48.8567 ,2.3522 ,FRA,primary
DZA,Algeria,KOR,"Korea, Republic",2019,0.004,0.0001,Algiers,36.7325 ,3.0872 ,DZA,primary,Seoul,37.5667 ,126.9833 ,KOR,primary
DZA,Algeria,TUN,Tunisia,2019,6.092698,0.55,Algiers,36.7325 ,3.0872 ,DZA,primary,Tunis,36.8064 ,10.1817 ,TUN,primary
DZA,Algeria,CAN,Canada,2020,39.709126,6.1,Algiers,36.7325 ,3.0872 ,DZA,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
DZA,Algeria,FRA,France,2020,3.700715,0.9,Algiers,36.7325 ,3.0872 ,DZA,primary,Paris,48.8567 ,2.3522 ,FRA,primary
DZA,Algeria,IDN,Indonesia,2020,0.003,0.001,Algiers,36.7325 ,3.0872 ,DZA,primary,Jakarta,-6.1750 ,106.8275 ,IDN,primary
DZA,Algeria,KOR,"Korea, Republic",2020,0.182,0.00935,Algiers,36.7325 ,3.0872 ,DZA,primary,Seoul,37.5667 ,126.9833 ,KOR,primary
DZA,Algeria,BEL,Belgium,2021,0.02932,0.00148,Algiers,36.7325 ,3.0872 ,DZA,primary,Brussels,50.8467 ,4.3525 ,BEL,primary
DZA,Algeria,CAN,Canada,2021,30.75262,4.949838,Algiers,36.7325 ,3.0872 ,DZA,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
DZA,Algeria,FRA,France,2021,145.22632,32.795,Algiers,36.7325 ,3.0872 ,DZA,primary,Paris,48.8567 ,2.3522 ,FRA,primary
DZA,Algeria,ARE,United Arab Emirates,2021,2.627545,0.745,Algiers,36.7325 ,3.0872 ,DZA,primary,Abu Dhabi,24.4667 ,54.3667 ,ARE,primary
DZA,Algeria,TUR,Turkey,2021,0.002,0.001,Algiers,36.7325 ,3.0872 ,DZA,primary,Ankara,39.9300 ,32.8500 ,TUR,primary
DZA,Algeria,USA,United States,2021,18.807,4.279,Algiers,36.7325 ,3.0872 ,DZA,primary,Washington,38.9047 ,-77.0163 ,USA,primary
DZA,Algeria,BEL,Belgium,2022,0.008951,0.0025,Algiers,36.7325 ,3.0872 ,DZA,primary,Brussels,50.8467 ,4.3525 ,BEL,primary
DZA,Algeria,CAN,Canada,2022,52.993546,8.656,Algiers,36.7325 ,3.0872 ,DZA,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
DZA,Algeria,FRA,France,2022,0.35909,0.228,Algiers,36.7325 ,3.0872 ,DZA,primary,Paris,48.8567 ,2.3522 ,FRA,primary
DZA,Algeria,IRL,Ireland,2022,0.017902,0.000228,Algiers,36.7325 ,3.0872 ,DZA,primary,Dublin,53.3497 ,-6.2603 ,IRL,primary
DZA,Algeria,KOR,"Korea, Republic",2022,0.003,0.001,Algiers,36.7325 ,3.0872 ,DZA,primary,Seoul,37.5667 ,126.9833 ,KOR,primary
DZA,Algeria,NLD,Netherlands,2022,0.13479,0.009,Algiers,36.7325 ,3.0872 ,DZA,primary,Amsterdam,52.3728 ,4.8936 ,NLD,primary
DZA,Algeria,NLD,Netherlands,2022,0.13479,0.009,Algiers,36.7325 ,3.0872 ,DZA,primary,The Hague,52.0800 ,4.3100 ,NLD,primary
DZA,Algeria,ARE,United Arab Emirates,2022,1.698532,0.489,Algiers,36.7325 ,3.0872 ,DZA,primary,Abu Dhabi,24.4667 ,54.3667 ,ARE,primary
DZA,Algeria,USA,United States,2022,12.231,2,Algiers,36.7325 ,3.0872 ,DZA,primary,Washington,38.9047 ,-77.0163 ,USA,primary
ASM,American Samoa,CZE,Czech Republic,2022,,,Pago Pago,-14.2740 ,-170.7046 ,ASM,primary,Prague,50.0875 ,14.4214 ,CZE,primary
AND,Andorra,FRA,France,2018,1.7299145,0.19726993,Andorra la Vella,42.5000 ,1.5000 ,AND,primary,Paris,48.8567 ,2.3522 ,FRA,primary
AND,Andorra,ESP,Spain,2018,2.634225,0.497,Andorra la Vella,42.5000 ,1.5000 ,AND,primary,Madrid,40.4169 ,-3.7033 ,ESP,primary
AND,Andorra,FRA,France,2019,0.089571,0.02,Andorra la Vella,42.5000 ,1.5000 ,AND,primary,Paris,48.8567 ,2.3522 ,FRA,primary
