Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
AUS,Australia,MYS,Malaysia,2018,172.3062,24.494484,Canberra,-35.2931,149.1269,AUS,primary,Kuala Lumpur,3.1686,101.698,MYS,primary
AUS,Australia,MYS,Malaysia,2018,172.3062,24.494484,Canberra,-35.2931,149.1269,AUS,primary,Putrajaya,2.914,101.7019,MYS,primary
AUS,Australia,MDV,Maldives,2018,637.28845,28.83323,Canberra,-35.2931,149.1269,AUS,primary,Male,4.1753,73.5089,MDV,primary
AUS,Australia,NRU,Nauru,2018,179.90796,10.186,Canberra,-35.2931,149.1269,AUS,primary,Yaren,-0.5456,166.925,NRU,primary
AUS,Australia,NLD,Netherlands,2018,120.00453,18.858906,Canberra,-35.2931,149.1269,AUS,primary,Amsterdam,52.3728,4.8936,NLD,primary
AUS,Australia,NLD,Netherlands,2018,120.00453,18.858906,Canberra,-35.2931,149.1269,AUS,primary,The Hague,52.08,4.31,NLD,primary
AUS,Australia,NCL,New Caledonia,2018,28.846869,4.36,Canberra,-35.2931,149.1269,AUS,primary,Noum茅a,-22.2625,166.4443,NCL,primary
AUS,Australia,NZL,New Zealand,2018,565.2732,115.27065,Canberra,-35.2931,149.1269,AUS,primary,Wellington,-41.2889,174.7772,NZL,primary
AUS,Australia,PAK,Pakistan,2018,386.32196,40.0172,Canberra,-35.2931,149.1269,AUS,primary,Islamabad,33.6931,73.0639,PAK,primary
AUS,Australia,PNG,Papua New Guinea,2018,536.0957,42.50681,Canberra,-35.2931,149.1269,AUS,primary,Port Moresby,-9.4789,147.1494,PNG,primary
AUS,Australia,PHL,Philippines,2018,1.213809,0.060000002,Canberra,-35.2931,149.1269,AUS,primary,Manila,14.5958,120.9772,PHL,primary
AUS,Australia,POL,Poland,2018,1.017,0.04,Canberra,-35.2931,149.1269,AUS,primary,Warsaw,52.23,21.0111,POL,primary
AUS,Australia,TLS,Timor-Leste,2018,3.99341,0.2541,Canberra,-35.2931,149.1269,AUS,primary,Dili,-8.5594,125.5795,TLS,primary
AUS,Australia,QAT,Qatar,2018,17.671686,1.587,Canberra,-35.2931,149.1269,AUS,primary,Doha,25.2867,51.5333,QAT,primary
AUS,Australia,RUS,Russian Federation,2018,0.195,0.06,Canberra,-35.2931,149.1269,AUS,primary,Moscow,55.7506,37.6175,RUS,primary
AUS,Australia,SAU,Saudi Arabia,2018,12.111468,1.935,Canberra,-35.2931,149.1269,AUS,primary,Riyadh,24.65,46.71,SAU,primary
AUS,Australia,SYC,Seychelles,2018,2.275727,0.22355,Canberra,-35.2931,149.1269,AUS,primary,Victoria,-4.6231,55.4525,SYC,primary
AUS,Australia,SGP,Singapore,2018,579.6427,84.02395,Canberra,-35.2931,149.1269,AUS,primary,Singapore,1.3,103.8,SGP,primary
AUS,Australia,VNM,Vietnam,2018,22.080345,4.821581,Canberra,-35.2931,149.1269,AUS,primary,Hanoi,21,105.85,VNM,primary
AUS,Australia,ZAF,South Africa,2018,73.49133,18.833027,Canberra,-35.2931,149.1269,AUS,primary,Cape Town,-33.9253,18.4239,ZAF,primary
AUS,Australia,ZAF,South Africa,2018,73.49133,18.833027,Canberra,-35.2931,149.1269,AUS,primary,Pretoria,-25.7461,28.1881,ZAF,primary
AUS,Australia,ZAF,South Africa,2018,73.49133,18.833027,Canberra,-35.2931,149.1269,AUS,primary,Bloemfontein,-29.1167,26.2167,ZAF,primary
AUS,Australia,ESP,Spain,2018,36.759975,2.4,Canberra,-35.2931,149.1269,AUS,primary,Madrid,40.4169,-3.7033,ESP,primary
AUS,Australia,CHE,Switzerland,2018,48.15471,19.201,Canberra,-35.2931,149.1269,AUS,primary,Bern,46.948,7.4474,CHE,primary
AUS,Australia,THA,Thailand,2018,61.611065,8.204,Canberra,-35.2931,149.1269,AUS,primary,Bangkok,13.7525,100.4942,THA,primary
AUS,Australia,ARE,United Arab Emirates,2018,68.11543,7.52557,Canberra,-35.2931,149.1269,AUS,primary,Abu Dhabi,24.4667,54.3667,ARE,primary
AUS,Australia,GBR,United Kingdom,2018,125.71112,23.875757,Canberra,-35.2931,149.1269,AUS,primary,London,51.5072,-0.1275,GBR,primary
AUS,Australia,USA,United States,2018,280.82404,62.570118,Canberra,-35.2931,149.1269,AUS,primary,Washington,38.9047,-77.0163,USA,primary
AUS,Australia,WSM,Samoa,2018,2.147331,0.3559,Canberra,-35.2931,149.1269,AUS,primary,Apia,-13.8333,-171.75,WSM,primary
AUS,Australia,AUS,Australia,2019,79.74409,38.38,Canberra,-35.2931,149.1269,AUS,primary,Canberra,-35.2931,149.1269,AUS,primary
AUS,Australia,BGD,Bangladesh,2019,21.839315,1.78616,Canberra,-35.2931,149.1269,AUS,primary,Dhaka,23.7289,90.3944,BGD,primary
AUS,Australia,MMR,Myanmar,2019,80.64069,4.2,Canberra,-35.2931,149.1269,AUS,primary,Rangoon,16.795,96.16,MMR,primary
AUS,Australia,MMR,Myanmar,2019,80.64069,4.2,Canberra,-35.2931,149.1269,AUS,primary,Nay Pyi Taw,19.7475,96.115,MMR,primary
AUS,Australia,KHM,Cambodia,2019,24.913338,2.758,Canberra,-35.2931,149.1269,AUS,primary,Phnom Penh,11.5696,104.921,KHM,primary
